Item,Reference(s),Value,Footprint,Quantity,Manufacturer PN
1,C1 C2 C5 C7,1uf,Capacitors_SMD:C_0402,4,,
2,C18,1u,Capacitors_SMD:C_0402,1,,
3,C3,2.2uf,Capacitors_SMD:C_0603,1,,
4,C4,4.7uf,Capacitors_SMD:C_0603,1,,
5,D1,LED,LEDs:LED-0603,1,,
6,OUTLINE1,CONN_1,PlugOutline:PLUG_OUTLINE,1,,
7,P1,CONN_6,Connectors_Molex:Connector_Molex_PicoBlade_53047-0610,1,,
8,P2,NICHROME,Pin_Headers:Pin_Header_Straight_1x02,1,,
9,P3,TC2030-CTX,Tag-Connect:TC2030-NL_SMALL,1,,
10,Q1,IRLL3303PbF,SMD_Packages:SOT-223,1,,
11,R1,2K,Resistors_SMD:R_0402,1,,
12,R16 R18 R3,100,Resistors_SMD:R_0402,3,,
13,R19,.02,Resistors_SMD:R_0805,1,,
14,R2,0,Resistors_SMD:R_0402,1,,
15,R20,1000,Resistors_SMD:R_0402,1,,
16,R6 R7,4K7,Resistors_SMD:R_0402,2,,
17,R8,120,Resistors_SMD:R_0402,1,,
18,U1,ST1480ABDR,Housings_DFN_QFN:DFN-8-1EP_3x3mm_Pitch0.5mm,1,,LTC2851IDD
19,U2,TPS769XX,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,1,,
20,U3,MKL03ZxxVFG4,Housings_DFN_QFN:QFN-16-1EP_3x3mm_Pitch0.5mm,1,,
21,U4,BMP180,BMP180:LGA7-1.5-3.8X3.6MM,1,,
22,U7,LT6105,LT6105:LT6105,1,,
